,title,description
203,Bitter melon,"colloquial, bitter, balsam-pear, tropical, subtropical, edible, many, Indian, 14th, ==, Alternative, other, few, herbaceous, tendril-bearing, simple, alternate, separated, separate, yellow, female, distinct, oblong, hollow, thin, flesh, central, large, flat, green, turn, crunchy, similar, cucumber, chayote, green, white, unripe, be, common, change, bitterness, Chinese, slight, sweet, red, uncooked, popular, Asian, ripe, expose, bright, ===, cultivar, pale, undulating, warty, typical, pointed, jagged, triangular, intermediate, bear, stuffed, sub-continent, Culinary, early, young, dim, herbal, gohyah, North, offset, such, mixed, grated, stir-fried, theeyal, roasted, medicinal, Other, deep-frying, pachi, fried, special, sour, kattu, chopped, different, crispy, northern, tite, fresh, eaten, golden-brown, own, karawila, main, rural, turmeric, whole, unpeeled, cooked, minced, hot, Japanese, significant, Indonesian, various, Christian, Vietnamese, raw, khổ, dried, Bitter, stewed, prepared, clear, garlic, fish, small, mara, wild, nutritious, dish, lima, regional, little, bagoong-based, sautéed, scotch, African, long, traditional, claimed, stomachic, laxative, antibilious, emetic, anthelmintic, purported, potential, clinical, further, recommend, several, menstrual, scientific, back, preliminary, benefit.With, animal, small-scale, human, hypoglycemic, concentrated, juice, efficacious, multiple, decrease, beneficial, depend, verify, abdominal, freshly, available, Adverse, side, urinary, mild, require, resolve, pregnant, induce, culinary, commercial, make, good, dieuretic, Medicinal, Native, ==, West"
204,Bubble tea,"Bubble, bubble, boba, Chinese, 珍珠奶茶, Taiwanese, tea-based, optional, such, chewy, Ice-blended, frozen, slushy, many, wide, popular, black, green, ==, oolong, come, teas, condensed, fresh, non-dairy, sell, Asian, fruit-flavored, hot, available, small, 糖漿, Many, common, cold, prevalent, original, unknown, tapioca, different, fruit, be, oolong, tea, plastic, authentic, seal, latter, serving, spill-free, ready, drink, oversize, straw, large, allow, pass, refer, zhēn, short, English, overseas, former, other, ===, have, white, Decaffeinated, Other, include, blended, add, similar, due, Green, traditional, rectangular, bean, typical, give, added, red, cheese, top, whipped, offer, snow, slushie-like, iced, cause, harden, difficult, suck, prevent, so-called, mixed, brown, purchase, alternative, Japanese, tea, new, multiple, rapid, fen, boring, top-selling, foreign, high, contemporary, cultural, major, direct, appropriate, literal, non-Chinese-speaking, create, warm, light, same, well-shaken, modern, pearl, logical, first, nǎi, layered, frothy, top, hence, salty, recommended, potential, make, affect, instructed, stop, look, allergenic, German, representative, issue, second, free, cancer-causing, contain, excessive, heavy-metal, health-threatening, unapproved, own, additional, starch-based"
205,Century egg,"Chinese, preserved, hundred-year, thousand-year, thousand-year-old, black, several, grey, creamy, strong, due, white, dark, translucent, alkaline, complex, flavorless, flavorful, pine, pine-patterned, ==, likely, preserve, similar, Western, verifiable, have, shallow, slaked, produce, improve, present, traditional, aforementioned, primitive, mixed, smooth, protect, keep, cloth-covered, ready, ===, modern, many, raw, table, achieve, same, toxic, unscrupulous, essential, excessive, lead, copper, finished, be, further, own, pickled, Shanghainese, chilled, popular, eat, sliced, cold, sesame, Japanese, recipe, common, northern, slice, soft, liberal, shredded, young, light, taste, old-and-fresh, chopped, top, fresh, Taiwanese, small, cook, create, lean, main, Peeled, seasoned, marinated, salted, congee, special, first, julienned, quartered, avoided, good, support, basic, horse, urine, distinctive, urine-like, ไข่เยี่ยวม้า, ໄຂ່ຍ່ຽວມ້າ, speed, turn, increase, rampant, label, Lead, Many, industrial, arsenic, lead, other, heavy, make, lessen, provide, encourage, regulate, combat, bad, Unlocking, 978-981-00-0454-5, Make, External"
206,Cha siu,"Chinese, Cantonese, popular, flavor, prepare, ==, char, vary, few, main, common, marbled, jyu, traditional, long, seasoned, covered, ancient, wild, other, available, make, modern, domestic, five-spice, red, bean, dark, optional, exterior, similar, American, be, give, characteristic, chasiu, fast, various, complex, ==, white, independent, per-person, commonly, whole, many, vegetable, Southeast, Asian, roast, dish, sweet, siu, called, chicken, plain, chicken-flavoured, choose, [, cold, Indonesian, Vegetarian, vegetarian, Japanese, low, typical, exceptional, store-bought, marinate, conventional, standard, underground, Hawaiian, cooked, portal"
207,Char kway teow,"Chinese, stir-fried, popular, noodle, national, flat, Cantonese, kway, high, light, dark, small, whole, other, crisp, banana, enhance, noodles.Char, unhealthy, due, fat, low, attractive, cheap, char, supplement, ==, chhá-kóe-tiâu, have, ricecake, usual, actual, ricecake, make, fixed, many, be, 炒貴刁, real, similar, 粿條, char, own, same, basic, main, strips/flat, stir-fry, available, ordinary, religious, standard, exclude, include, extra, broader-width, fried, much, vegetarian, crab, southern, coastal, Burmese, pepper, boiled, yellow, sweet, kut, Asian, such, Many, different, Chinese-style, bright, Good, Indonesian, street, side, generous, sambal, cater, serve, non-Muslim, use, Vietnamese, si-io, orr, inexpensive, healthier, bean, fresh, crunchy, dish, cuttlefish, common, large, expatriate"
208,Chicken feet,"outer, thin, edible, distinct, different, chicken, gelatinous, ==, several, regional, Chinese, be, cold, main, chicken, deep, first, make, puffy, black, fermented, bean, abalone, mainland, popular, such, lu, Sichuanese, garlic, star, bai, feng, extended, southern, raw, huge, other, frozen, direct, major, fresh, green, ===, Russian, Ukrainian, eaten, high, Indonesian, common, serve, traditional, available, clear, yellowish, galangal, turmeric, taste, sambal, lime, street, humble, identical, use, open, reap, prepare, simple, peeled, soft, —, old, nasi, vegetable, rich, beneficial, green/yellow, special, slow, stir-fried, hot, ===, supplementary, Siamese, Many, roti, palm, Malaysian, become, likely, mole, take, chew, inner, uneaten, brown, adidas, athletic, seasoned, soak, =="
209,Chinese sausage,"Chinese, generic, many, different, southern, Cantonese, 'lap, chong, traditional, ==, lean, fresh, turkey, be, main, dried, hard, high, duck, xiāng, plump, chopped, un-rendered, sweet, nuòmǐ, no6, noh, white-colored, glutinous, nuomi, similar, Korean, xuě, primary, popular, northeast, red, Pixian, characterise, special, common, such, fried, lo, unpackaged, wet, famous, ===, regional, smoked, Lithuanian, German, mild, Russian, European, other, Russian-capitalized, Harbin-style, northern, lạp, simple, complex, balance, leaner, u, chicken, pork, meaty, compact, Chinese-Filipino, siopao, native, ===, innovative, low-fat, low-sodium, high-fibre, local, fragrant, kwan, dominant, several, sizeable, snakehead, pla, fatjong, fachongfa-chong, fashong, colloquial, dish, mixed, Other, available, Asian, outside, vacuum-packaged, due, large, mass-produced"
210,Chow mein,"Chinese, traditional, stir-fried, Taishanese, popular, mein, mean, 'stir-fried, sautéed, English, Portuguese, be, ===, American, dish, common, specific, Vegetarian, vegan, main, available, see, crisper, flat, soft, noodles.Crispy, finished, strained, have, many, different, mung, thick, mixed, soy, regional, deep, fried, crispy, few, steamed, separate, lo, used.The, hamburger-style, receive, chop, similar, chop, green, generous, cultural, other, significant, Asian, fit, local, dominant, gravy, canned, Italian, make, acceptable, senior, military, particular, include, noodles.In, first, upon, European, ethnic, keep, expensive, successful, good, several, 'stew-type, guess, great, increase, effective, Australian, dry, stir, sit, underside, serve, single, little, garlic, rice, light, such, bok, chopped, unique, Brazilian, Japanese, [, [, jakisoˈba, North, entire, vegetarian, egg, much, al, heavy, sesame, bean, and/or, yakibifum, same, white, queijo, tofu, spring, bright, red, sweet-sour, Canadian, offer, identical, Cantonese, deep-fried, golden, bamboo, char, Western, substitute, plain, chow, own, dried, Indian, general, South, pork, hot, foreign, owned, Western-style, distinct, shredded, vegetable, sometimes, non-meat, scrambled, chilli, Mexican, past, northwestern, Nepalese, Peruvian, mainstream, contain, crunchy, Indonesian, Malaysian"
211,Chrysanthemum tea,"flower-based, chrysanthemum, popular, prepare, hot, transparent, bright, floral, Chinese, strong, several, first, ==, white, pale, Huángshān-gòngjú, 黄山贡菊, Yellow, gòngjú, prominent, ===, dried, Indian, cold, drained, floor-heated, preserved, mixed, herbal, decoction, be, Commercial, available, many, Asian, various, outside, whole, teabag, tea, Traditional, Korean, portal"
212,Claypot rice,"Chinese, cooked, distinctive, dark, salted, fish, time-consuming, have, wait, ready, ==, tahu"
213,Congee,"popular, many, Asian, side, additional, such, own, ill., thick, prolonged, prominent, ancient, English, have, Portuguese, staple, easy, digest, simple, cook, traditional, Chinese, be, other, hsan, baw, Vietnamese, khao, Japanese, Indonesian, ==, prepare, large, overnight, short-, long-grain, available, regional, cultural, late, suitable, sick, digestible, ဆန်ပြုတ်, thin, plain, chopped, fried, ===, local, Cantonese, make, white, long, use, different, bamboo, Other, provide, similar, Western, oatmeal, brown, common, everyday, therapeutic, unknown, historical, numerous, stretch, feed, young, Often, mixed, steamed, deboned, grow, red, Qing-era, go, build, good, Cambodian, enhance, salted, ឆាខ្វៃ, main, chicken, same, cold, regular, green, dried, few, supernatant, overcooked, prepared, minor, pearl, broken, maize.The, economic, smooth, sago, dry, manual, daily, dish, nachnyachi, pickle.In, roasted, dal, increase, flavour.The, rich, special, medicinal, promote, immune, system.Poor, re-cook, leftover, take, mix-mash, old, previous, poor, re-heated, Indian, —which, south, nombu, turmeric, fenugreek, variant, kocheel, black, ukde, ganji, famous, Fresh, hot, fish, fresh, cooked, vegetables.In, filtered, add, soup-based, little, sour, healthy, separate, certain, undigested, ===, favourite, bubur, ayam, residential, rice, shredded, sweet, yellow, sambal, chili, quail, north, vegetable, tinutuan, spice, ample, lemon, eastern, sago, eaten, lime, okayu, お粥, thicken, umeboshi, pickled, flavor, electric, specific, soft, elderly, first, solid, help, cooked, latter, major, nanakusa-gayu, invite, new, light, heavy, Korean, warm, famine, nutritional, beneficial, get, eat, bad, ideal, forty, basic, flavorful, various, Notable, ground, yulmu-juk, lacryma-jobi, sweetfish, pumpkin, pine, abalone, bean, wet, chicken, [, generic, wide, savory, Chinese-style, dessert, glutinous, Savory, visual, impart, appealing, lugaw, arroz, na, smoked, frog, utak, tongue, soy, digest.Dessert, home-made, refer, binignit, small, immature, strict, former, Singapore-style, early, suit, fixed, lor, stir-fried, kangkong, tau, several, indigenous, medical, millet, kitul, mung, hal, bring, supplementary, bendi, utilized, treat, diarrheal, finger, kurakkan, coconut, sawu, prescribe, kitul, boiling, piti, sweeten, call, aarisi, paal, appropriate, raw, donut-like, sliced, mu, five-spice, notable, kui, Buddhist, vinegar-based, cháo, duck, lòng, congealed, bầu, rural, southern, Well-known, congee, congee, nuanced, nutty, wandering"
214,Conpoy,"seafood, marine, certain, salt-cured, rich, umami, due, high, various, free, such, glutamic, nucleic, inosinic, amino, acid, raw, ==, Cantonese, fish, ==, common, small, Patinopecten, many, preserve, recent, gourmet, strong, distinctive, be, stir, significant, third"
215,Crab rangoon,"cheese, crisp, American, ==, crab, other, small, Chinese, four-pointed, traditional, crispness, vegetable, be, hot, cold, soy, sour, Polynesian-style, authentic, further, same, unclear, cream, nonexistent, unlikely, east, southeast, Asian, puff, wrapper, deep, d'oeuvre"
216,Dan Dan noodles,"dandanmian, traditional, Chinese, noodle, dish, zha, upper, chili, be, dry, added, Taiwanese, American, sesame, mian, specific, Shanghainese, sweeter, ==, dan, sauce, affordable, due, low, local, call, dandan, English, first, dandan, last, Cantonese, Related, same, poached, meat-filled, Sichuan, corresponding, Japanese, 坦, Ta-a, =="
217,Dragonfruit,"several, different, indigenous, fruit, southern, tropical, subtropical, ==, Vernacular, leather-like, prominent, derive, northern, pitahaya, tall, native, ==, sour, arid, important, northwestern, call, ccapxl, related, such, organ, sweet, tart, reminiscent, traditional, leafy, white-fleshed, pink-skinned, white, dragon, red-fleshed, red-skinned, red, yellow, yellow-skinned, reach, Early, certain, taxa, be, unblemished, overripe, potted, shallow, cacti, find, climb, involve, aerial, flower.Commercial, high, take, come, full, commercial, expected.Pitaya, overnight, nocturnal, produce, self-fertile, second, flower, other, healthy, become, own, endure, short, survive, long, thrive, live, dry, moderate, cactus-like, have, 5-6, numerous, invasive, ===, excessive, cause, drop, rot, split, brown, common, Other, fungi, infect, pitaya, black, crunchy, low, nutty, rich, flavor, alcoholic, purple, due, same, amaranth, nutrient, raw, limited, table, fatty, acid, culinary, edible, tunas"
